date,hour,month,vendor_name,payment_name,fare_amount,trip_distance,passenger_count
2015-01-15,19,2015-01,VeriFone Inc,Credit Card,12.0,1.59,1
2015-01-15,19,2015-01,VeriFone Inc,Credit Card,16.5,2.38,1
2015-01-15,19,2015-01,VeriFone Inc,Cash,12.5,2.83,5
2015-01-15,19,2015-01,VeriFone Inc,Credit Card,26.0,8.33,5
2015-01-15,19,2015-01,VeriFone Inc,Credit Card,11.5,2.37,1
2015-01-15,19,2015-01,VeriFone Inc,Credit Card,21.5,7.13,2
2015-01-15,19,2015-01,VeriFone Inc,Cash,17.5,3.6,1
2015-01-15,19,2015-01,VeriFone Inc,Credit Card,5.5,0.89,1
2015-01-15,19,2015-01,VeriFone Inc,Credit Card,5.5,0.96,1
2015-01-15,19,2015-01,VeriFone Inc,Credit Card,6.5,1.25,2
2015-01-15,19,2015-01,VeriFone Inc,Credit Card,11.5,2.11,5
2015-01-15,19,2015-01,VeriFone Inc,Credit Card,7.5,1.15,5
2015-01-15,19,2015-01,VeriFone Inc,Cash,9.0,1.53,1
2015-01-15,19,2015-01,VeriFone Inc,Credit Card,52.0,18.06,1
2015-01-15,19,2015-01,VeriFone Inc,Credit Card,10.0,1.76,1
2015-01-15,19,2015-01,VeriFone Inc,Credit Card,17.5,5.19,6
2015-01-15,19,2015-01,VeriFone Inc,Credit Card,7.5,1.38,1
2015-01-15,19,2015-01,VeriFone Inc,Credit Card,60.0,0.01,2
2015-01-15,19,2015-01,VeriFone Inc,Credit Card,10.0,2.23,2
2015-01-15,19,2015-01,VeriFone Inc,Credit Card,8.0,1.56,1
2015-01-15,19,2015-01,VeriFone Inc,Credit Card,8.0,1.57,5
2015-01-15,19,2015-01,VeriFone Inc,Credit Card,12.5,2.92,1
2015-01-25,0,2015-01,VeriFone Inc,Cash,2.5,0.02,1
2015-01-25,0,2015-01,VeriFone Inc,Cash,11.0,1.73,1
2015-01-25,0,2015-01,VeriFone Inc,Credit Card,10.5,2.25,1
2015-01-25,0,2015-01,VeriFone Inc,Cash,12.5,3.53,1
2015-01-25,0,2015-01,VeriFone Inc,Credit Card,9.5,2.01,1
2015-01-25,0,2015-01,VeriFone Inc,Credit Card,12.5,3.37,1
2015-01-25,0,2015-01,VeriFone Inc,Credit Card,8.0,1.35,1
2015-01-25,0,2015-01,VeriFone Inc,Credit Card,6.0,1.18,1
2015-01-25,0,2015-01,VeriFone Inc,Credit Card,8.5,2.05,5
2015-01-25,0,2015-01,VeriFone Inc,Credit Card,16.5,3.05,1
2015-01-25,0,2015-01,VeriFone Inc,Credit Card,12.5,3.06,4
2015-01-25,0,2015-01,VeriFone Inc,Cash,4.0,0.49,1
2015-01-25,0,2015-01,VeriFone Inc,Credit Card,11.0,2.6,1
2015-01-25,0,2015-01,VeriFone Inc,Credit Card,24.0,6.17,1
2015-01-25,0,2015-01,VeriFone Inc,Credit Card,16.5,3.72,1
2015-01-25,0,2015-01,VeriFone Inc,Cash,6.0,1.1,1
2015-01-25,0,2015-01,VeriFone Inc,Credit Card,10.5,2.63,2
2015-01-25,0,2015-01,VeriFone Inc,Credit Card,9.5,2.22,2
2015-01-25,0,2015-01,VeriFone Inc,Credit Card,8.0,1.79,1
2015-01-25,0,2015-01,VeriFone Inc,Credit Card,8.5,1.14,1
2015-01-25,0,2015-01,VeriFone Inc,Cash,39.0,10.2,1
2015-01-04,13,2015-01,VeriFone Inc,Credit Card,7.5,1.48,5
2015-01-04,13,2015-01,VeriFone Inc,Cash,2.5,0.03,1
2015-01-04,13,2015-01,VeriFone Inc,Cash,3.5,0.36,1
2015-01-04,13,2015-01,VeriFone Inc,Credit Card,12.5,3.14,3
2015-01-04,13,2015-01,VeriFone Inc,Credit Card,7.0,1.14,1
2015-01-04,13,2015-01,VeriFone Inc,Credit Card,27.0,8.98,1
2015-01-04,13,2015-01,VeriFone Inc,Cash,5.5,0.85,1
