date,payment_type,daily_revenue,trip_count,cumulative_revenue,cumulative_trips
2015-01-01,1,2477984.3200000287,187439,2477984.3200000287,187439
2015-01-02,1,2203686.389999987,175380,4681670.710000016,362819
2015-01-03,1,2643913.6999999997,217447,7325584.410000015,580266
2015-01-04,1,2508373.03,186419,9833957.440000014,766685
2015-01-05,1,2745413.09,212170,12579370.530000014,978855
2015-01-06,1,2883601.1199999996,234582,15462971.650000013,1213437
2015-01-07,1,3179473.33,267210,18642444.98000001,1480647
2015-01-08,1,3455817.4099999997,284477,22098262.39000001,1765124
2015-01-09,1,3482733.9899999998,279237,25580996.38000001,2044361
2015-01-10,1,3694239.73,314313,29275236.11000001,2358674
2015-01-11,1,3251872.15,260917,32527108.26000001,2619591
2015-01-12,1,3124955.53,249069,35652063.79000001,2868660
2015-01-13,1,3591064.8800000004,288344,39243128.67000001,3157004
2015-01-14,1,3613923.82,286397,42857052.49000001,3443401
2015-01-15,1,3762783.4700000007,292280,46619835.96000001,3735681
2015-01-16,1,3811203.5299999993,300462,50431039.49000001,4036143
2015-01-17,1,3364956.9400000004,284205,53795996.43000001,4320348
2015-01-18,1,3086036.7300000004,257345,56882033.16000001,4577693
2015-01-19,1,2720536.08,212258,59602569.24000001,4789951
2015-01-20,1,3293161.4599999995,259389,62895730.70000001,5049340
2015-01-21,1,3469405.56,279940,66365136.26000001,5329280
2015-01-22,1,3726733.52,294924,70091869.78000002,5624204
2015-01-23,1,3831933.95,301120,73923803.73000002,5925324
2015-01-24,1,3248746.56,283007,77172550.29000002,6208331
2015-01-25,1,3200261.75,255407,80372812.04000002,6463738
2015-01-26,1,1716290.88,138491,82089102.92000002,6602229
2015-01-27,1,786103.08,82978,82875206.00000001,6685207
2015-01-28,1,3102110.0599999996,246551,85977316.06000002,6931758
2015-01-29,1,3705067.25,282266,89682383.31000002,7214024
2015-01-30,1,3925279.37,310615,93607662.68000002,7524639
2015-01-31,1,3819542.7999999993,324685,97427205.48000002,7849324
2015-01-01,2,2298137.35,190023,2298137.35,190023
2015-01-02,2,1920367.11,166586,4218504.46,356609
2015-01-03,2,2020999.23,185676,6239503.6899999995,542285
2015-01-04,2,1601709.7400000002,139046,7841213.43,681331
2015-01-05,2,1622628.3800000001,147480,9463841.81,828811
2015-01-06,2,1602173.8,146052,11066015.610000001,974863
2015-01-07,2,1687208.1600000001,158444,12753223.770000001,1133307
2015-01-08,2,1743928.25,162074,14497152.020000001,1295381
2015-01-09,2,1811350.1300000001,164309,16308502.150000002,1459690
2015-01-10,2,2079343.85,196237,18387846.000000004,1655927
2015-01-11,2,1714343.41,154447,20102189.410000004,1810374
2015-01-12,2,1561378.03,143371,21663567.440000005,1953745
2015-01-13,2,1675758.87,155996,23339326.310000006,2109741
2015-01-14,2,1634771.2200000002,151609,24974097.530000005,2261350
2015-01-15,2,1716286.74,154117,26690384.270000003,2415467
2015-01-16,2,1908420.1499999997,172644,28598804.42,2588111
2015-01-17,2,1991892.0300000003,187687,30590696.450000003,2775798
2015-01-18,2,1776425.52,165288,32367121.970000003,2941086
2015-01-19,2,1393766.91,127054,33760888.88,3068140
2015-01-20,2,1537460.91,142044,35298349.79,3210184
2015-01-21,2,1584416.65,147505,36882766.44,3357689
2015-01-22,2,1675054.6300000001,152945,38557821.07,3510634
2015-01-23,2,1842215.9400000002,166562,40400037.01,3677196
2015-01-24,2,1799705.07,173102,42199742.08,3850298
2015-01-25,2,1654068.83,147824,43853810.91,3998122
2015-01-26,2,980822.7000000001,89094,44834633.61,4087216
2015-01-27,2,462239.25,51531,45296872.86,4138747
2015-01-28,2,1444476.84,129920,46741349.7,4268667
2015-01-29,2,1693206.5800000003,145458,48434556.28,4414125
2015-01-30,2,1874342.9700000002,167899,50308899.25,4582024
2015-01-31,2,2022100.5100000002,190178,52330999.76,4772202
2015-01-01,3,14442.64,1085,14442.64,1085
2015-01-02,3,10791.53,816,25234.17,1901
2015-01-03,3,12359.03,956,37593.2,2857
2015-01-04,3,10192.79,763,47785.99,3620
2015-01-05,3,10241.52,759,58027.509999999995,4379
2015-01-06,3,10457.090000000002,799,68484.59999999999,5178
2015-01-07,3,10709.19,843,79193.79,6021
2015-01-08,3,10663.380000000001,941,89857.17,6962
2015-01-09,3,11701.04,962,101558.20999999999,7924
2015-01-10,3,13846.550000000001,1164,115404.76,9088
2015-01-11,3,11968.609999999999,938,127373.37,10026
2015-01-12,3,10202.560000000001,861,137575.93,10887
2015-01-13,3,10410.53,899,147986.46,11786
2015-01-14,3,10357.65,862,158344.11,12648
2015-01-15,3,12405.44,962,170749.55,13610
2015-01-16,3,13178.93,1081,183928.47999999998,14691
2015-01-17,3,14439.710000000001,1207,198368.18999999997,15898
2015-01-18,3,13160.59,1047,211528.77999999997,16945
2015-01-19,3,9783.15,759,221311.92999999996,17704
2015-01-20,3,9505.160000000002,804,230817.08999999997,18508
2015-01-21,3,10601.83,850,241418.91999999995,19358
2015-01-22,3,11970.12,946,253389.03999999995,20304
2015-01-23,3,12268.050000000001,1018,265657.08999999997,21322
2015-01-24,3,11822.2,998,277479.29,22320
2015-01-25,3,11961.25,989,289440.54,23309
2015-01-26,3,6697.92,555,296138.45999999996,23864
2015-01-27,3,2192.0,223,298330.45999999996,24087
2015-01-28,3,11550.32,864,309880.77999999997,24951
2015-01-29,3,12816.050000000001,951,322696.82999999996,25902
2015-01-30,3,14585.59,1155,337282.42,27057
2015-01-31,3,15031.060000000001,1287,352313.48,28344
2015-01-01,4,5469.030000000001,355,5469.030000000001,355
2015-01-02,4,3836.51,254,9305.54,609
2015-01-03,4,3942.5,263,13248.04,872
2015-01-04,4,4515.360000000001,258,17763.4,1130
2015-01-05,4,3047.0,215,20810.4,1345
2015-01-06,4,3420.5,236,24230.9,1581
2015-01-07,4,3484.0,264,27714.9,1845
2015-01-08,4,3935.51,272,31650.410000000003,2117
2015-01-09,4,4731.0,331,36381.41,2448
2015-01-10,4,4317.02,343,40698.43000000001,2791
2015-01-11,4,3918.02,271,44616.450000000004,3062
2015-01-12,4,3832.14,260,48448.590000000004,3322
2015-01-13,4,3523.0,233,51971.590000000004,3555
2015-01-14,4,3655.8100000000004,259,55627.4,3814
2015-01-15,4,3755.580000000001,267,59382.98,4081
2015-01-16,4,4801.27,351,64184.25,4432
2015-01-17,4,4672.52,345,68856.77,4777
2015-01-18,4,4129.030000000001,287,72985.8,5064
2015-01-19,4,2872.0,216,75857.8,5280
2015-01-20,4,3504.5,254,79362.3,5534
2015-01-21,4,3850.0,250,83212.3,5784
2015-01-22,4,3815.01,287,87027.31,6071
2015-01-23,4,4095.02,295,91122.33,6366
2015-01-24,4,4040.8,292,95163.13,6658
2015-01-25,4,4098.52,305,99261.65000000001,6963
2015-01-26,4,2408.04,171,101669.69,7134
2015-01-27,4,515.0,59,102184.69,7193
2015-01-28,4,3027.5,207,105212.19,7400
2015-01-29,4,3640.5,263,108852.69,7663
2015-01-30,4,4674.8099999999995,333,113527.5,7996
2015-01-31,4,4593.51,353,118121.01,8349
2015-01-19,5,6.0,1,6.0,1
